"restaurant_name","city","state","zip","lat","long"
"Jamba Juice","Sherman Oaks","CA","91403",34.151291,-118.452271
"Snappy Tomato Pizza","Hillsboro","OH","45133",NA,-83.482136
"L&l Indian Restaurant","Columbus","OH","43228",NA,NA
"Loko Wraps","Captain Cook","HI","HI 96",19.487522,-155.90651
"The Overland Fine Eatery","Laramie","WY","82070",41.312009,-105.595758
"On The Bridge","San Francisco","CA","94115",37.7852485,-122.4314288
"Village Inn","Moline","IL","61265",41.49246,-90.536177
"Erawan of Siam Restaurant - Closed","Waltham","MA","02453",42.368145,-71.23776
"Cava Mezze Grill","Bethesda","MD","20814",38.98066,-77.09696
"Aladdin's Eatery","Evanston","IL","60201",42.046314,-87.680021
"Chipotle Mexican Grill","La Grange","IL","60525",NA,NA
"Big Burger Spot","Greensboro","NC","27409",36.060596,-79.910545
"Village Inn","Jacksonville Beach","FL","32250",30.286145,-81.391436
"Ambala Express","Los Angeles","CA","90024",34.050255,-118.437349
"Iga","Seminole","TX","79360",32.698753,-102.713509
"Original Fried Pie Shop","Davis","OK","73030",NA,NA
"Seven Star Street Bistro - Roslindale","Roslindale","MA","02131",42.286377,-71.136995
"Nature's Way Cafe","N Palm Beach","FL","33408",26.85072,-80.06169
"Cuvee Wine Bistro","Ocala","FL","34471",29.16538,-82.163574
"Indigo Cafe","San Diego","CA","92101",NA,NA
"Amore Pizza","Queensbury","NY","12804",43.33037,-73.69827
"Cuislimo -cuisine Limousine","Redmond","WA","98052",47.672264,-122.11939
"Brick Lane Curry House","New York","NY","10003",40.726981,-73.988127
"Tavern On The Green","Salem","MA","01970",42.522957,-70.88728
"Delta Restaurant","Oshkosh","WI","54902",44.024765,-88.56737
"Pei Wei","Amarillo","TX","79124",35.1770963,-101.9382012
"Transfermke","","","53204",NA,NA
"","San Jose","CA","95128",37.32051,-121.949265
"","Phoenix","AZ","85044",NA,NA
"Evos St Petersburg","Saint Petersburg","FL","33704",27.79644186,-82.63819706
"La Salsa","Redondo Beach","CA","90277",33.817927,-118.385527
"Pizza Pro","Rosebud","TX","76570",31.073895,-96.979256
"Hollywood Gardens","","","15074",NA,NA
"Braum's Ice Cream & Dairy","Fort Worth","TX","76137",32.670285,-97.322788
"Pho Huong Giang","Houston","TX","77065",29.907653,-95.584516
"Veggie Grill","Los Angeles","CA","90046",NA,NA
"Sweetgreen","Boston","MA","02108",NA,NA
"Siam Thai Food Restaurant","Temecula","CA","92591",NA,NA
"Horn of Plenty Market Restaurant","Knoxville","TN","37923",35.941196,-84.0918
"Woodlands Restaurant","","","20783",NA,NA
"Better Life Cuisine","Santa Monica","CA","90401",34.017967,-118.4904
"The Cheeze Factory Restaurant","Lake Delton","WI","53965",43.5873,-89.784195
"Dao Fu","San Diego","CA","92116",NA,NA
"Highline","Seattle","WA","98102",47.62026129,-122.3207112
"Middlebury Natural Food Co-op","Middlebury","VT","05753",44.01493837,-73.16505966
"Schlotzsky's Deli","Richardson","TX","75081",32.9512294,-96.7673709
"Hero Shop","Los Angeles","CA","90014",34.0451164,-118.2497439
"Lee's Sandwich Shop","Houston","TX","77072",29.6861182,-95.5584026
"Star of India","Ferndale","MI","48220",42.4608018,-83.13605062
"Sensitive Sweets","Fountain Valley","CA","92708",33.709957,-117.95452
"Carmo","New Orleans","LA","70130",29.945484,-90.069877
"Fei's Cafe","Albuquerque","NM","87106",NA,NA
"Veggie Grille","Atlantic City","NJ","08401",NA,NA
"","Detroit","MI","48201",42.35133,-83.065605
"Sweet & Natural","Mount Rainier","MD","20712",38.938582,-76.9607518
"Eternity Juice Bar","","IL","60619",NA,NA
"Angel & Angie's","Jessup","MD","20794",NA,NA
"Pita Jungle (pasadena)","Pasadena","CA","91105",34.14578,-118.14954
"Hapa Grill","","","97007",NA,NA
"Wildflour Cafe and Bakery","","","24016",NA,NA
"Keva Juice of Santa Fe","Santa Fe","NM","87507",35.639392,-106.011668
"Thrive","Seattle","WA","98115",NA,NA
"Ezra's Enlightened Cafe","Indianapolis","IN","46220",NA,NA
"Sutra","Seattle","WA","98103",47.66138,-122.33847
"Miss Saigon","","","20007",NA,NA
"Serendib","Ellsworth","ME","04605",44.541203,-68.42511
"Tapas At Tapeo Restaurant and Tapas Bar","Boston","MA","02116",42.34937,-71.08334
"","New Haven","CT","06511",41.307747,-72.93206
"Blue Moon Pizza","Fort Myers","FL","33907",26.555674,-81.87841
"","Paw Paw","MI","49079",42.21752,-85.89305
"Sunflower Cafe","Venice","FL","34285",27.09991,-82.44915
"Gaslight Restaurant Bar Lounge","Hoboken","NJ","07030",40.74237,-74.03614
"Golden Dragon","Santa Rosa","CA","95401",38.441097,-122.71454
"Superfood Citizens Cafe","Beacon","NY","12508",NA,NA
"","Mclean","VA","22101",NA,NA
"Life Grocery Natural Foods Cafe","Marietta","GA","30062",33.95075,-84.51017
"Pho Vi Vietnamese Cuisine","Pomona","CA","91766",NA,NA
"How Do You Roll?","Houston","TX","77002",29.758212,-95.365137
"","Seattle","WA","98103",NA,NA
"Ground Control","Los Angeles","CA","90019",34.047611,-118.324181
"Oasis Express (closed)","Sacramento","CA","95814",38.5802,-121.49053
"","Marion","IA","52302",42.027924,-91.62435
"Jack's Chili Factory","Los Angeles","CA","90016",34.0221159,-118.334661
"Panchero's","Wesley Chapel","FL","33543",28.237477,-82.32573
"Pneumatic Diner","Reno","NV","89503",39.52442,-119.81941
"Abby's Table","Portland","OR","97214",NA,NA
"Squeezed Juice Bar","Albuquerque","NM","87109",NA,NA
